proposal_id,text
P0001,"Create a GIS map of informal waste dumping sites around Green Park Extension. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0002,"Prepare a flood susceptibility map for University Campus using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0003,"Create a GIS map of informal waste dumping sites around Transport Nagar. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0004,"Estimate rooftop rainwater harvesting potential for a group of houses in Yamuna Enclave using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0005,"Design a low-cost water quality survey of handpumps in Shivaji Nagar. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0006,"Prepare a flood susceptibility map for Ward 12 using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0007,"Estimate rooftop rainwater harvesting potential for a group of houses in Industrial Layout using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0008,"Estimate rooftop rainwater harvesting potential for a group of houses in Lalbagh using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0009,Develop a small web-based tool to prioritize drainage improvements in Lakeview Colony using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0010,"Plan a coordinated riverbank cleanup for a 4.2 km stretch near Riverfront Colony. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0011,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Riverfront Colony. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0012,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Ganga Vihar. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0013,"Create a GIS map of informal waste dumping sites around Ward 8. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0014,"Prepare a policy brief comparing local construction debris rules in Station Road Area with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0015,"Design a low-cost greywater reuse system for a hostel block in University Campus. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0016,"Carry out microbiological testing of stored household drinking water in Transport Nagar, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0017,"Prototype a solar-powered pump system to lift water from a small farm pond near Green Park Extension. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0018,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Ganga Vihar. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0019,Develop a small web-based tool to prioritize drainage improvements in Ward 8 using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0020,"Design a low-cost water quality survey of handpumps in Hostel Zone B. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0021,"Plan and deliver a community awareness campaign on safe water storage and handling in Lakeview Colony. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0022,"Prepare a flood susceptibility map for Yamuna Enclave using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0023,"Design a low-cost greywater reuse system for a hostel block in Lakeview Colony. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0024,"Prepare a policy brief comparing local construction debris rules in Ganga Vihar with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0025,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in University Campus. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0026,"Prototype an IoT-based flood alert node for a low bridge used by school children in Riverfront Colony. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0027,"Estimate rooftop rainwater harvesting potential for a group of houses in Riverfront Colony using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0028,"Carry out microbiological testing of stored household drinking water in Transport Nagar, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0029,"Estimate rooftop rainwater harvesting potential for a group of houses in Ganga Vihar using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0030,"Design a low-cost water quality survey of handpumps in Ward 12. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0031,Implement smart fill-level monitoring on dustbins across the university campus near Ward 8. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0032,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Station Road Area. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
